Generation,Survivors,Avg. survivors,Avg. Sep,Sd. Sep,Avg. Align,Sd. Align,Avg. Coh,Sd. Coh
227,0.74,0.7225,0.292383,0.0475267,0.25502,0.0570313,0.452596,0.0495689
228,0.74,0.725,0.294729,0.0464694,0.257232,0.0487852,0.448039,0.0494396
229,0.525,0.708,0.303345,0.0542678,0.250513,0.0581599,0.446142,0.0573196
230,0.585,0.699,0.305772,0.054225,0.240727,0.066886,0.453502,0.05757
231,0.67,0.704,0.304652,0.0519501,0.247057,0.0608029,0.448291,0.0547249
232,0.65,0.703,0.300973,0.0524464,0.25249,0.0650663,0.446538,0.0485573
233,0.605,0.6945,0.297586,0.0583485,0.257881,0.0570583,0.444533,0.0530279
234,0.75,0.6965,0.294732,0.052312,0.262204,0.0610715,0.443064,0.0557685
235,0.655,0.6775,0.298341,0.0500865,0.24963,0.0633079,0.452028,0.0540113
236,0.64,0.656,0.291268,0.0489779,0.253014,0.0690076,0.455718,0.0589375
237,0.76,0.658,0.290022,0.0498232,0.25206,0.0735924,0.457918,0.0629196
238,0.43,0.627,0.288559,0.0470307,0.262705,0.0584957,0.448736,0.0531526
239,0.645,0.639,0.301843,0.0480771,0.25649,0.0506095,0.441668,0.0494844
240,0.85,0.6655,0.29655,0.0477829,0.257454,0.0471516,0.445996,0.0512547
241,0.72,0.6705,0.292444,0.0429024,0.259495,0.043691,0.448061,0.0460445
242,0.8,0.6855,0.29656,0.0501261,0.261541,0.0464701,0.4419,0.0520705
243,0.69,0.694,0.291758,0.0478189,0.267526,0.0492885,0.440716,0.0621014
244,0.715,0.6905,0.288056,0.0500938,0.267296,0.054585,0.444648,0.0564221
245,0.71,0.696,0.289238,0.0505353,0.269921,0.0522164,0.440841,0.054941
246,0.795,0.7115,0.28564,0.0468809,0.268122,0.0514083,0.446238,0.0518839
247,0.715,0.707,0.283896,0.0497552,0.265306,0.0471441,0.450798,0.0505986
248,0.57,0.721,0.283778,0.0522306,0.266246,0.0500267,0.449976,0.0524916
249,0.645,0.721,0.290936,0.0572923,0.265705,0.0527764,0.443359,0.0650261
250,0.77,0.713,0.28719,0.0516678,0.270147,0.0549909,0.442663,0.0580486
251,0.7,0.711,0.285445,0.0503806,0.269809,0.0584721,0.444746,0.0556243
252,0.675,0.6985,0.287557,0.0504445,0.272199,0.0556607,0.440244,0.0594877
253,0.705,0.7,0.28721,0.0486757,0.270782,0.0540233,0.442008,0.0549977
254,0.695,0.698,0.281092,0.0464774,0.277495,0.0564753,0.441413,0.0583824
255,0.595,0.6865,0.27618,0.0453589,0.28585,0.0638204,0.43797,0.069297
256,0.885,0.6955,0.279956,0.0474728,0.279116,0.0583914,0.440928,0.0617489
257,0.48,0.672,0.279033,0.0493845,0.28415,0.0560607,0.436817,0.0564353
258,0.735,0.6885,0.283843,0.0422508,0.277152,0.0506914,0.439005,0.0519294
259,0.71,0.695,0.282427,0.0452243,0.283022,0.0534431,0.434552,0.0562556
260,0.625,0.6805,0.288725,0.0464024,0.279497,0.0602003,0.431779,0.0603241
261,0.7,0.6805,0.279284,0.0433868,0.27954,0.0682962,0.441175,0.0654337
262,0.565,0.6695,0.284196,0.0484166,0.27542,0.0675668,0.440384,0.0593491
263,0.63,0.662,0.292135,0.0486407,0.271487,0.0593633,0.436377,0.0531154
264,0.645,0.657,0.28704,0.0484847,0.273627,0.0622576,0.439333,0.0552153
265,0.61,0.6585,0.2817,0.0501214,0.276193,0.0605852,0.442107,0.0566982
266,0.66,0.636,0.279367,0.0539177,0.285573,0.0625254,0.435059,0.049573
267,0.69,0.657,0.276071,0.055978,0.286781,0.0692889,0.437148,0.059599
268,0.805,0.664,0.276963,0.0578402,0.286085,0.0590313,0.436952,0.0563162
269,0.725,0.6655,0.280566,0.0534369,0.288979,0.0608828,0.430455,0.058711
270,0.705,0.6735,0.284618,0.0490493,0.281058,0.0587087,0.434324,0.0569399
271,0.66,0.6695,0.276214,0.0420012,0.284735,0.0387952,0.43905,0.0465758
272,0.64,0.677,0.27151,0.0422916,0.290521,0.0446836,0.43797,0.0460389
273,0.72,0.686,0.270526,0.0452206,0.295113,0.0405832,0.434361,0.0526092
274,0.765,0.698,0.268355,0.0425017,0.295403,0.040091,0.436242,0.0516218
275,0.875,0.7245,0.274854,0.044024,0.289121,0.0451021,0.436024,0.0607136
276,0.705,0.729,0.270071,0.0472806,0.292786,0.0440593,0.437143,0.0589014
277,0.39,0.699,0.275452,0.04498,0.29026,0.0437111,0.434288,0.0535405
278,0.765,0.695,0.27808,0.0492915,0.285663,0.0533767,0.436257,0.0648627
279,0.715,0.694,0.275013,0.0446269,0.281183,0.0479208,0.443804,0.0554278
